City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,11.16,91,100,0.89,US,1709753059
1,bethel,41.3712,-73.414,11.47,85,75,1.54,US,1709753059
2,grytviken,-54.2811,-36.5092,7.11,56,100,1.12,GS,1709753059
3,waitangi,-43.9535,-176.5597,12.12,83,98,4.05,NZ,1709753060
4,port saint john's,-31.6229,29.5448,21.84,72,38,2.25,ZA,1709753060
5,longyearbyen,78.2186,15.6401,-6.09,68,40,3.6,SJ,1709753060
6,adamstown,-25.066,-130.1015,24.23,73,75,6.08,PN,1709752922
7,ancud,-41.8697,-73.8203,14.08,61,40,4.12,CL,1709753061
8,mancio lima,-7.6142,-72.8958,32.04,62,40,2.57,BR,1709753061
9,filadelfia,39.9523,-75.1638,11.29,94,100,4.63,US,1709753062
10,tura,25.5198,90.2201,15.34,26,0,1.83,IN,1709753062
11,lebu,-37.6167,-73.65,14.97,68,100,7.88,CL,1709753063
12,ushuaia,-54.8,-68.3,8.81,87,100,2.57,AR,1709752764
13,turtas,58.9417,69.1325,-23.49,100,87,0.82,RU,1709753064
14,kruisfontein,-34.0033,24.7314,18.27,90,28,1.77,ZA,1709753064
15,pangoa,-12.1167,-73.0,28.63,63,69,1.87,PE,1709753064
16,port-aux-francais,-49.35,70.2167,7.0,83,100,8.58,TF,1709753065
17,ilulissat,69.2167,-51.1,-11.99,85,75,2.06,GL,1709753065
18,huetamo de nunez,18.5833,-100.8833,36.94,12,0,1.15,MX,1709753065
19,thompson,55.7435,-97.8558,-11.91,52,20,0.0,CA,1709753066
20,mount gambier,-37.8333,140.7667,11.51,92,11,2.99,AU,1709753066
21,anadyr,64.75,177.4833,-19.72,84,40,3.0,RU,1709753067
22,chonchi,-42.6128,-73.8092,16.18,50,88,0.29,CL,1709753067
23,springbok,-29.6643,17.8865,18.61,37,7,2.04,ZA,1709753067
24,yellowknife,62.456,-114.3525,-13.66,88,75,3.09,CA,1709753068
25,remire-montjoly,4.9167,-52.2667,30.02,70,75,7.72,GF,1709753068
26,blackmans bay,-43.0167,147.3167,13.07,63,97,0.45,AU,1709753068
27,ciudad lazaro cardenas,17.9583,-102.2,27.45,57,0,4.17,MX,1709753069
28,gadzhiyevo,69.2551,33.3362,2.04,99,100,9.28,RU,1709753069
29,bredasdorp,-34.5322,20.0403,17.72,72,82,3.02,ZA,1709753069
30,puerto natales,-51.7236,-72.4875,13.25,50,40,4.63,CL,1709753070
31,isafjordur,66.0755,-23.124,4.04,79,100,4.29,IS,1709753070
32,edinburgh of the seven seas,-37.0676,-12.3116,18.78,97,100,4.89,SH,1709753071
33,rodino,52.5,80.25,-10.42,89,55,5.07,RU,1709753071
34,puerto santa,-8.9906,-78.6456,25.51,72,57,4.78,PE,1709753071
35,yamoussoukro,6.8206,-5.2767,31.94,62,20,0.0,CI,1709753072
36,invercargill,-46.4,168.35,11.12,94,32,4.02,NZ,1709753072
37,khandyga,62.6667,135.6,-32.26,100,96,0.65,RU,1709753072
38,st. john's,47.5649,-52.7093,6.27,96,100,5.66,CA,1709753073
39,shiraoi,42.55,141.35,-3.77,73,13,2.33,JP,1709753073
40,sassandra,4.95,-6.0833,27.49,84,100,3.68,CI,1709753074
41,kirakira,-10.4544,161.9205,27.01,87,100,3.75,SB,1709753074
42,tecalitlan,19.4667,-103.3,24.25,18,0,2.72,MX,1709753074
43,tiffin,41.1145,-83.178,6.44,98,100,0.45,US,1709753075
44,avarua,-21.2078,-159.775,28.03,83,20,5.66,CK,1709753075
45,west island,-12.1568,96.8225,26.99,94,75,5.14,CC,1709753075
46,udachny,66.4167,112.4,-29.55,100,100,2.21,RU,1709752974
47,new norfolk,-42.7826,147.0587,13.72,74,100,1.67,AU,1709753076
48,bodo,67.28,14.405,2.1,74,0,3.6,NO,1709753077
49,ves'yegonsk,58.664,37.2604,-2.77,98,100,1.47,RU,1709753077
50,hobyo,5.3505,48.5268,27.86,82,0,4.7,SO,1709753078
51,stanley,54.868,-1.6985,5.4,92,75,3.09,GB,1709753078
52,vorkuta,67.5,64.0,-19.24,98,100,5.68,RU,1709753078
53,hermanus,-34.4187,19.2345,17.11,74,100,2.72,ZA,1709753079
54,qingdao,36.0986,120.3719,-2.22,74,0,3.0,CN,1709753045
55,vorgashor,67.5833,63.95,-19.25,98,100,5.86,RU,1709753079
56,lihue,21.9789,-159.3672,25.58,65,0,10.29,US,1709753080
57,ribeira grande,38.5167,-28.7,13.22,67,40,9.77,PT,1709753080
58,mariehamn,60.0973,19.9348,-2.32,100,100,2.57,AX,1709753080
59,guerrero negro,27.9769,-114.0611,17.6,61,100,8.14,MX,1709753081
60,magadan,59.5667,150.8,-16.05,80,96,3.26,RU,1709753081
61,joshimath,30.5667,79.5667,4.61,80,68,1.92,IN,1709753081
62,carnarvon,-24.8667,113.6333,29.61,63,21,4.37,AU,1709753082
63,tafuna,-14.3358,-170.72,29.97,74,40,3.09,AS,1709753082
64,port mathurin,-19.6833,63.4167,26.4,76,15,10.42,MU,1709753083
65,inari,68.906,27.0288,2.11,93,91,1.94,FI,1709753083
66,brookings,44.3114,-96.7984,12.43,33,20,14.92,US,1709753083
67,dudinka,69.4058,86.1778,-15.18,92,99,4.02,RU,1709753084
68,hawaiian paradise park,19.5933,-154.9731,21.13,95,100,1.54,US,1709753084
69,crucecita,-28.95,-58.9833,28.86,37,7,3.67,AR,1709753084
70,badagry,6.4167,2.8833,27.81,86,82,2.77,NG,1709753085
71,rongelap,11.1635,166.8941,26.2,78,100,10.57,MH,1709753085
72,badger,64.8,-147.5333,-7.23,80,75,2.57,US,1709753085
73,gorontalo,0.5412,123.0595,24.26,96,35,1.66,ID,1709753086
74,danjiangkou,32.5428,111.5086,6.84,78,100,0.86,CN,1709753086
75,dunedin,-45.8742,170.5036,12.67,78,100,0.45,NZ,1709752972
76,tiksi,71.6872,128.8694,-28.31,100,97,1.33,RU,1709753087
77,iskateley,67.6803,53.1512,-4.99,95,100,5.36,RU,1709753087
78,la passe,45.5549,-0.8967,10.13,92,82,3.75,FR,1709753088
79,bodaybo,57.8506,114.1933,-18.4,100,100,0.6,RU,1709753088
80,saipan,15.1355,145.701,24.39,88,20,2.57,MP,1709753088
81,pohrebyshche,49.4864,29.2636,2.28,70,100,4.42,UA,1709753089
82,khash,28.2211,61.2158,10.84,54,0,1.14,IR,1709753089
83,puerto ayora,-0.7393,-90.3518,29.98,87,71,1.79,EC,1709753089
84,port alfred,-33.5906,26.891,20.1,87,86,5.26,ZA,1709753090
85,benoy,8.9833,16.3199,34.52,12,100,1.51,TD,1709753090
86,egilsstadir,65.2653,-14.3948,6.95,76,75,4.63,IS,1709753091
87,trairi,-3.2778,-39.2689,27.53,84,99,3.86,BR,1709753091
88,praia da vitoria,38.7333,-27.0667,12.64,76,75,15.03,PT,1709753091
89,iqaluit,63.7506,-68.5145,-24.06,52,20,6.71,CA,1709753092
90,jeremoabo,-10.075,-38.4808,34.63,30,0,4.47,BR,1709753092
91,olonkinbyen,70.9221,-8.7187,0.84,96,100,6.59,SJ,1709753092
92,porto murtinho,-21.6989,-57.8825,34.11,47,84,1.95,BR,1709753093
93,ust'-talovka,50.5493,81.85,-15.57,98,60,2.12,KZ,1709753093
94,wailua homesteads,22.0669,-159.378,25.24,65,0,10.29,US,1709753093
95,bilibino,68.0546,166.4372,-32.37,100,87,0.89,RU,1709753094
96,ulaangom,49.9811,92.0667,-23.01,90,86,2.03,MN,1709753094
97,rib mountain,44.9128,-89.6754,8.97,31,0,6.26,US,1709753094
98,pisco,-13.7,-76.2167,28.03,61,0,5.14,PE,1709753095
99,namibe,-15.1961,12.1522,24.11,63,43,4.12,AO,1709753095
100,pangody,65.85,74.4859,-16.49,95,100,5.73,RU,1709753095
101,bamboo flat,11.7,92.7167,24.05,83,100,0.51,IN,1709753096
102,manismata,-2.4667,111.0333,23.49,99,100,0.99,ID,1709753096
103,monywa,22.1167,95.1333,23.68,30,0,1.58,MM,1709753096
104,port elizabeth,-33.918,25.5701,19.62,83,75,2.06,ZA,1709753097
105,swift current,50.2834,-107.8014,-15.55,85,0,4.63,CA,1709753097
106,porto torres,40.835,8.3972,11.1,72,15,5.89,IT,1709752899
107,kapa'a,22.0752,-159.319,25.99,65,0,10.29,US,1709753098
108,saldanha,-33.0117,17.9442,18.03,77,99,3.96,ZA,1709753098
109,xilin hot,43.9667,116.0333,-12.67,87,100,0.96,CN,1709753099
110,georgetown,5.4112,100.3354,29.97,88,40,2.57,MY,1709752978
111,olyokminsk,60.3736,120.4264,-29.58,100,100,0.11,RU,1709753099
112,tolanaro,-25.0319,46.9987,24.04,94,75,7.2,MG,1709753100
113,afaahiti,-17.75,-149.2833,28.93,80,100,5.31,PF,1709753100
114,kudahuvadhoo,2.6708,72.8944,27.98,79,100,4.72,MV,1709753100
115,petropavlovsk-kamchatsky,53.0452,158.6483,-13.64,91,0,5.81,RU,1709752937
116,ust-tsilma,65.441,52.1498,-2.99,95,100,3.13,RU,1709753101
117,port blair,11.6667,92.75,24.02,83,100,0.51,IN,1709753102
118,isangel,-19.55,169.2667,26.93,86,67,6.32,VU,1709753102
119,cabedelo,-6.9811,-34.8339,30.37,74,100,4.64,BR,1709753102
120,kapuskasing,49.4169,-82.4331,0.05,37,0,1.54,CA,1709753103
121,tralee,52.2704,-9.7026,10.56,86,100,6.88,IE,1709753103
122,camocim,-2.9022,-40.8411,28.42,76,100,5.24,BR,1709753103
123,papao,-17.75,-149.55,29.82,79,100,5.39,PF,1709753104
124,argostolion,38.1811,20.489,13.75,54,50,4.26,GR,1709753104
125,berezovyy,51.6667,135.7,-17.66,94,94,1.49,RU,1709753104
126,newala kisimani,-10.95,39.2833,20.33,98,16,1.93,TZ,1709753105
127,scottsboro,34.6723,-86.0341,18.23,82,100,4.12,US,1709753105
128,fale old settlement,-9.3852,-171.2468,28.48,75,13,2.6,TK,1709753105
129,taltal,-25.4,-70.4833,22.5,67,22,2.84,CL,1709753106
130,itaituba,-4.2761,-55.9836,29.09,74,40,8.75,BR,1709753106
131,humboldt,40.6665,-123.9178,6.18,92,99,1.12,US,1709753106
132,margaret river,-33.95,115.0667,19.06,57,6,4.69,AU,1709753107
133,polyarnyy,69.1989,33.4478,2.17,99,100,8.95,RU,1709753107
134,sal rei,16.1833,-22.9167,23.11,64,20,8.23,CV,1709753107
135,charikar,35.0136,69.1714,3.0,54,78,2.39,AF,1709753108
136,kasimov,54.9411,41.3953,-14.39,96,26,1.18,RU,1709753108
137,nakhon si thammarat,8.25,100.0,25.52,80,100,1.15,TH,1709753108
138,college,64.8569,-147.8028,-7.18,73,75,2.57,US,1709753109
139,talnakh,69.4865,88.3972,-13.72,97,100,2.47,RU,1709753110
